"","IC50","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55"
"CO:COLO205",5.75741981132076,-10.6076791819673,0.623125975933003,-3.45598110862603,3.79694773940011,-1.5776622002906,1.84093732136086,-4.90029666000816,-1.06175164659819,2.40691101639985,-0.880557989633414,-0.335432530695733,-2.54711982727426,-0.594374206891778,-3.69917449020027,1.52726977510775,2.94467355301146,-2.19582524894349,-2.45441019593517,-0.622443096770533,0.611205591597548,0.281703724517175,-1.4387113574678,2.38001331684453,1.45432934838812,2.62903539297836,-1.29682337897015,5.15953456109208,-3.47289411835947,-0.196122964438882,4.52293456584977,-1.16949780901049,0.945052891809064,1.57992217997937,0.900953911457335,-6.57333737388419,-2.50458193924445,-6.36365790610606,-0.730647093253833,8.37122145892569,-11.6502124844041,1.33585169803788,-53.7375800568614,-19.1882270435353,-14.9665582846021,19.3258325173459,-1.82804188776746,-5.02001015713201,-5.7471914851374,-1.25704326503035,1.41190427934149,3.91419474621641,-0.896526646440134,-3.39090700850188,0.95895936299411,4.17255142597563
"CO:HCC_2998",6.02611847663551,228.087655731764,177.724793559496,-15.5095737128813,10.7103929295158,-4.44196087965471,5.69582021499715,-3.19869162556245,-1.60862150920449,1.66940359438182,-0.898322387255722,-0.781324121283011,-0.524095319077643,0.458021310560402,-0.32063803088543,0.451275267302128,0.562153038424115,-0.573495102916587,-0.262677909180031,0.261058241244759,0.309748446450569,-0.0854234510162208,-0.247080157569612,0.0825640457920127,0.113386605506452,0.389118946846394,-0.279275448679185,0.33956664652515,-0.410250991071264,-0.136987530210053,0.318043533352361,0.0625550553538693,0.197518724833427,-0.140593869398796,-0.108101197903401,0.0806490343818483,-0.0536619131987913,0.0331711883783269,0.0246769587232435,0.0521743806248402,-0.0427807190174808,0.187656685327087,-0.209596727170444,0.0283172085330822,0.141246764631842,-0.11142272118816,-0.0139856114813943,-0.118885417308184,0.0192928033255649,0.0399151920728866,0.14623145482038,-0.0307954155889399,-0.162975713894435,0.0928628769294164,-0.15868424288057,-0.0889042121892263
"CO:HCT_116",6.25446634653465,16.225807135081,-2.63192347058509,18.503044030568,-66.6643098787366,164.005325908293,4.41988396363977,4.23461262776642,-3.82616621532014,0.509407376418553,-0.329636650231147,0.00170908876890688,-0.853045072051471,0.214759842379824,0.289621035381419,-0.45500632338803,0.781127002819979,0.313521783497769,0.1411434310728,0.2649952499279,-0.299554505417966,0.16825902529443,0.135323893692964,0.303377170670391,0.355571200643683,0.213526013513913,0.0555901280214918,-0.16991181672089,-0.31764314697677,0.159462413032912,0.0249751949737294,-0.328844495250206,0.122387369295903,-0.292966477804491,0.0359717951929369,0.204933196810092,-0.00276839386543031,0.290737804966209,-0.0150134629696015,0.19909897292543,0.0314416096871063,-0.0434938269915688,-0.153169857829805,0.0549663560970889,-0.293665680903724,0.0401563195234041,-0.0619586999054307,0.108563811981807,0.107624422531325,-0.0138154161978527,0.0248284975410535,-0.115721434130655,-0.375217871550418,-0.0471857059392583,-0.185912993661561,0.024214572370923
"CO:HCT_15",5.95887760952381,189.795561900747,-208.061439591779,-27.6662182864061,13.6451919002594,-3.63275911986323,4.46425088381521,-2.3991739545924,-2.42125714912956,0.524920198545676,-1.28598936992373,-0.40616129324864,-0.869116908408531,-0.0205605978577962,-0.375573062595377,0.374007182136913,0.519363299233817,-0.25596190466334,-0.776801349069113,0.0849335571953896,0.160011583935751,-0.3377375171439,-0.537978034941304,0.192235202922142,0.151141275153744,0.369655370101052,-0.0333917137468192,0.36556596708598,-0.578151412533155,-0.374348637982436,0.085364381604858,0.0119923135578948,-0.0396510756261494,0.0295520545586039,-0.0991336836058638,-0.0844850668140621,0.0238299184250962,-0.0528166811427914,-0.0421344281256981,-0.0248720993220018,-0.058280410394458,0.334533351557726,-0.0894308379196623,0.142641570217985,0.183318204402187,-0.207942990590756,0.0217100002555228,-0.0713792525628002,-0.0703737523758282,-0.0873506399579143,0.0627863990665808,0.0493841524109179,-0.175302598400958,0.0999886627809701,-0.0280285289498786,-0.121973297138311
"CO:HT29",5.9196278440367,-8.9345938770874,-0.245525148055387,-3.66650110440284,4.00605265135395,-1.50138195042627,2.80118055804706,-3.75510768952037,-2.8827227102625,3.81419300549993,-3.6097932976696,4.38802630486746,-1.94010977825096,-3.10132633854346,-9.88172683280784,-5.62338989975825,22.9170358984028,-43.0611318935048,67.3903894142517,-15.7230347697369,-2.91227990043978,5.32474809263752,2.88915582375718,-0.233118178904141,0.135819287649532,-4.87697799209808,0.822852987229445,0.448951923415448,5.1951637845021,-0.195679414038769,0.485630022578984,-3.51560305919313,-1.80918510184955,1.08175444280732,1.03438832966988,2.77246273603074,-1.60570557268265,0.291725082997312,-0.680870007379769,1.72013264191792,-0.35105139070995,1.19001985011935,1.3248736409799,0.145777328964422,0.440367027704239,-0.186397861622497,-0.223475010178458,0.104277405554317,0.509612727795439,-0.175463030378483,-0.950696414920877,-1.15236195604218,0.136642181099031,0.0896654903677619,0.323408027120218,0.186093053734347
"CO:KM12",5.74905736697248,17.9432183731199,-5.37890591264557,13.7384588879107,-166.092853103702,-69.9219823591829,2.21901325550473,0.499605407162498,-1.38804159188492,1.73789054858705,-1.47316528253706,0.116793920750319,-0.431024718604585,0.335788982414263,0.186393036458713,0.0711954681981827,0.738160720030374,0.0720043069884079,0.13611146973864,0.182448404780282,0.111300280665882,-0.418190072942158,-0.273296809693358,0.127860375293864,-0.156289992007597,0.232105629821334,0.145254017181812,-0.248349209876183,-0.384405219212596,0.271986102463353,0.0345698003387153,-0.406885669313084,0.380791812299497,-0.213181679641432,-0.158031527024964,0.167094087597002,-0.266100935154522,0.131615335609283,0.158569036707283,-0.0747633347586367,0.354382310597227,0.0464049233153161,-0.0576924167050424,-0.51882721184897,-0.174214293486355,-0.315710505482577,-0.207424616999342,0.0544935983816442,-0.244942321765087,-0.343736826524448,-0.0837799470899477,-0.110227173112593,-0.00214587083724871,0.0310589570874464,0.102272294381363,-0.215817556389055
"CO:SW_620",5.81324570642202,-9.93277964872677,0.873420078125466,-3.62120509644516,2.2824474409101,-1.15966361792862,1.52975804679322,-5.31882764269519,-3.16082526281551,1.4038684251419,-2.46304744627574,-0.923866210947176,-2.27538468557447,-0.740281793187898,-3.2793954549791,0.646261466292668,1.71355319666387,-1.57613473454826,-6.2438799171609,4.35688109796335,5.13528468214826,-2.50453204699661,-6.65500778649362,8.59942047797595,22.4292730969109,19.0929776109256,-4.5618138040882,31.4467168481359,56.4304444592591,-13.7840942336376,3.56177780485327,10.0850306389012,-1.85148479348358,-0.427212064206769,-5.93964851008189,4.3665967259566,1.01643606312471,-2.60955928598173,3.61095106894296,0.8360638316809,-0.301074392127118,-1.77639916553881,5.22084995817107,-0.871470648711784,-2.50952625334383,2.18654285555211,-0.392339304859659,1.04749160655535,-2.31755547662845,2.14796141199872,-1.31606840596266,0.430184819632561,-0.136292029913113,-1.13358390235329,0.293991528965113,0.578347107657562
"LE:CCRF_CEM",6.82529719444444,-0.441443029095921,-1.31752646667538,1.80594706386711,0.0157798432094988,2.7915377907398,-1.15706991256215,-11.1902815145356,128.202386617721,-0.508730372048963,2.09301340925464,1.2116062085908,0.581157722567048,-0.243861641904746,2.9417263459804,-0.562411374185129,-1.26720400471067,-0.158116214877468,1.40674196726195,0.579218211935481,0.257055627613858,-1.35143834119946,-0.864141711117491,0.483132982126643,0.298870272966476,0.805310780662591,-0.159872272193736,-0.332029433970897,0.356967705221623,0.100136571298282,0.274464078270972,-0.182991863932223,-0.314476621082145,0.981881305065612,-0.449307617221192,-0.188646549641669,-0.156061064648437,-0.0589917824049149,0.0607256048112794,-0.321437829160593,0.494396649717767,-0.369113589836671,0.40721246930237,-0.215949281618381,0.191620622806233,-0.477909861450401,0.575836904233346,-0.130524686581607,0.00858027153452955,0.361268565428936,-0.00501124306810334,0.157219714232616,0.148747176407478,0.304193423415686,0.0192432830154035,-0.0420455424478322
"LE:HL_60",5.98642368478261,-10.9336428522378,1.60836146386667,-4.08080984882565,3.96856236253172,-0.347344728569994,3.34419545767169,-4.98184132572922,-2.09852708381553,1.84283943613476,-1.73567311202306,-2.2324933770588,-1.07039303802238,0.894343304886527,-1.38709860125598,0.0677481324643162,2.40838996422205,0.280654429993658,-1.6603426299416,-0.40732848361861,0.82942202568887,1.345434691031,-1.64798732720576,-0.651768119368033,1.66874635926199,0.859582716864935,-0.461985402929656,1.78884103360563,-4.14673524277505,-2.3701136307674,-0.863634648969958,2.67371127531496,1.98822073602554,-4.72241182022578,2.88583202011745,0.30462463545691,1.0299422013119,-2.76838381159153,-1.05395461191811,-1.64754809576618,2.12713557638826,4.01948086871746,-0.760734762668948,3.09770248708863,12.0322136020032,-18.9996808617042,5.52903337361407,-15.1263270588619,-41.8785241951957,-27.8075929927703,0.841552660518027,10.3134398000583,12.3000035234168,-14.8999623103631,0.370193108294264,1.6048616472378
"LE:K_562",6.43543585714286,-8.13322882503875,0.933461977043857,-3.83643058990304,3.04781395974701,-1.34507386349638,2.41403578361835,-4.68649962648918,-1.48922567850146,2.54694167937078,-3.52271187716643,0.923392063009985,-1.84282003748859,0.0536481460320499,-3.50730286973507,3.72015765616067,4.93355259397195,1.22066103047197,-7.45286733695845,9.86218323332516,6.51949498759648,-6.71063903471805,10.1973390238572,27.4201670777799,15.3737455007709,-66.3300489083179,6.18280923745068,-0.59940295890727,9.38365175782644,7.1717191804742,2.49094354217021,4.78781125887305,0.0461154572370688,8.13953147759144,-0.14705045126085,3.48592309181127,-0.489103390503523,-1.99160764886305,-3.49794098413033,-2.10300674444862,-0.869823626041919,-3.32911493254646,0.225361337492181,2.45836993356682,-0.910797310719041,1.19271225904555,-1.86408724088535,-0.884616324781535,-0.746991912444194,-0.144175497218662,0.637186578342149,-1.20253853823534,0.691074583416911,-0.0603767824062494,0.520368669347324,0.327498216210447
